Alvo;Time;Angulacao
Grama;12.21666667;45
Grama;12.23333333;45
Grama;12.25;45
Grama;12.23333333;-45
Grama;12.26666667;-45
Grama;12.28333333;-45
Grama;12.28333333;70
Grama;12.26666667;70
Grama;12.3;70
Grama;12.33333333;-70
Grama;12.33333333;-70
Grama;12.31666667;-70
Grama;12.35;Nadir
Grama;12.36666667;Nadir
Grama;12.36666667;Nadir
Grama;12.26666667;45
Grama;12.38333333;45
Grama;12.38333333;45
Grama;12.4;-45
Grama;12.21666667;-45
Urbano;12.53333333;-45
Urbano;12.55;70
Urbano;12.56666667;70
Urbano;12.51666667;70
Urbano;12.61666667;-70
Urbano;12.63333333;-70
Urbano;12.66666667;-70
Urbano;12.53333333;Nadir
Urbano;12.5;Nadir
Urbano;12.51666667;Nadir
Urbano;12.51666667;45
Urbano;12.53333333;45
Urbano;12.63333333;45
Urbano;12.65;-45
Urbano;12.66666667;-45
Urbano;12.55;-45
Urbano;12.56666667;70
Urbano;12.58333333;70
Urbano;12.58333333;70
Urbano;12.51666667;-70
Solo;12.81666667;-70
Solo;12.83333333;-70
Solo;12.85;Nadir
Solo;12.75;Nadir
Solo;12.91666667;Nadir
Solo;12.93333333;45
Solo;12.95;45
Solo;12.76666667;45
Solo;12.88333333;-45
Solo;12.9;-45
Solo;12.91666667;-45
Solo;12.75;70
Solo;12.96666667;70
Solo;12.98333333;70
Solo;12.98333333;-70
Solo;12.76666667;-70
Solo;12.71666667;-70
Solo;12.78333333;Nadir
Solo;12.8;Nadir
Solo;12.75;Nadir
Agua;11.685;Nadir
Agua;11.78861111;Nadir
Agua;12.16194444;Nadir
Agua;11.56916667;45
Agua;11.88638889;45
Agua;11.97472222;45
Agua;11.76166667;70
Agua;11.94694444;70
Agua;12.14694444;70
Agua;11.81805556;-45
Agua;12.06055556;-45
Agua;12.13583333;-45
Agua;11.86055556;70
Agua;12.09611111;70
Agua;12.00722222;70
